bonus,incorrectC1,incorrectC2,uniqueid,workerid
0.0,0.0,0.0,60dfd857e293a99dd577f4c8:TSS_RECONF_111022,60dfd857e293a99dd577f4c8
0.0,0.0,0.0,5d41e832b0ca7200169d857e:TSS_RECONF_111022,5d41e832b0ca7200169d857e
0.0,0.0,0.0,63c9fd72104f2f9bdc6b1fcc:TSS_RECONF_111022,63c9fd72104f2f9bdc6b1fcc
0.0,0.0,0.0,64467092479723cb7906e371:TSS_RECONF_111022,64467092479723cb7906e371
0.0,0.0,0.0,6406d015ad2a96ceef1f86cc:TSS_RECONF_111022,6406d015ad2a96ceef1f86cc
0.0,,,646fea6f93d07b0354140441:TSS_RECONF_111022,646fea6f93d07b0354140441
0.0,0.0,0.0,607c9f94cc974d4ea1dc22c8:TSS_RECONF_111022,607c9f94cc974d4ea1dc22c8
0.0,0.0,0.0,61095a37fbf7b13d6f7f2f5b:TSS_RECONF_111022,61095a37fbf7b13d6f7f2f5b
0.0,0.0,0.0,63cbd5095083beef0c8b1a7a:TSS_RECONF_111022,63cbd5095083beef0c8b1a7a
0.0,0.0,0.0,639dc966f953a42bc397c24b:TSS_RECONF_111022,639dc966f953a42bc397c24b
0.0,0.0,0.0,6558cfb5dea00c262887d792:TSS_RECONF_111022,6558cfb5dea00c262887d792
0.0,0.0,0.0,55900dcffdf99b3f7aada3f5:TSS_RECONF_111022,55900dcffdf99b3f7aada3f5
0.0,,,655eb8b1e492d12a307d94ea:TSS_RECONF_111022,655eb8b1e492d12a307d94ea
0.0,0.0,0.0,63378180a7bc5bc3427e8db0:TSS_RECONF_111022,63378180a7bc5bc3427e8db0
0.0,0.0,0.0,638fdf87700dd1228bade2e1:TSS_RECONF_111022,638fdf87700dd1228bade2e1
0.0,,,5c3c7913b4f22c0001a0809c:TSS_RECONF_111022,5c3c7913b4f22c0001a0809c
0.0,0.0,0.0,56f2a5e0ed0cf6000691320b:TSS_RECONF_111022,56f2a5e0ed0cf6000691320b
0.0,0.0,0.0,64345bf16b9a2e046128887f:TSS_RECONF_111022,64345bf16b9a2e046128887f
0.0,0.0,0.0,62cd9b920ed1b7c1648818d3:TSS_RECONF_111022,62cd9b920ed1b7c1648818d3
0.0,0.0,0.0,5add6b6aeb60400001536f2c:TSS_RECONF_111022,5add6b6aeb60400001536f2c
0.0,,,5bd4c1d09afb5b00015c5bdd:TSS_RECONF_111022,5bd4c1d09afb5b00015c5bdd
0.0,0.0,0.0,6365437b0637981c7666125b:TSS_RECONF_111022,6365437b0637981c7666125b
0.0,0.0,0.0,59e62b6277860e0001512e14:TSS_RECONF_111022,59e62b6277860e0001512e14
0.0,0.0,0.0,63f7a3efa5b4d0027e3185f0:TSS_RECONF_111022,63f7a3efa5b4d0027e3185f0
0.0,0.0,0.0,6562fbd1f6b4756ac64c4dbd:TSS_RECONF_111022,6562fbd1f6b4756ac64c4dbd
